Id,Creation Time,T5_query_rewriter,data_usage_type,run_type,Sum of BLEU,Sum of ROGUE,ndcg3_score,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,b_s_2,b_s_3,b_s_4,b_s_5,b_s_6,b_s_7,b_s_8,b_s_9,b_s_10,r_s_2 f_measure,r_s_3 f_measure,r_s_4 f_measure,r_s_5 f_measure,r_s_6 f_measure,r_s_7 f_measure,r_s_8 f_measure,r_s_9 f_measure,r_s_10 f_measure
QUER-720,2022-10-06 12:56:15,base,all_paragraphs_combined_then_summarized_mid,testing_query_rewriting,56.10,83.46,,,,,,,,,,,57.59,54.86,61.10,64.80,55.03,59.05,45.52,37.58,66.58,85.43,83.66,86.41,84.77,83.36,86.39,78.10,75.43,87.57
QUER-719,2022-10-06 12:45:52,base,all_paragraphs_combined_then_summarized_mid,testing_everything,55.29,82.11,0.2577589614933669,0.3508031223872849,0.346993292490328,0.2617324672907083,0.19702187923872938,0.2711040718462482,0.26495601788238404,0.11166074345146047,0.15573986083471766,0.19571211761734716,52.95,59.04,58.61,64.34,52.60,61.09,45.52,36.72,58.11,82.12,86.19,84.22,83.73,82.39,86.82,79.54,72.82,81.17
QUER-718,2022-10-06 10:48:59,personal,all_paragraphs_combined_then_summarized_mid,testing_query_rewriting,59.21,84.10,,,,,,,,,,,49.60,63.39,60.25,66.54,61.99,63.79,55.72,41.01,63.97,78.08,87.01,85.09,86.44,85.46,86.86,82.47,79.94,85.53
QUER-717,2022-10-06 10:38:43,personal,all_paragraphs_combined_then_summarized_mid,testing_everything,59.03,82.17,0.22375856706032857,0.20734998969711285,0.31784098770637575,0.26271024168391355,0.158878099047451,0.16729247974001077,0.24087231869600212,0.21495575623445493,0.11020039421497643,0.07177942634556549,52.17,63.14,61.09,69.60,57.24,60.24,59.28,37.88,58.76,76.11,87.03,86.03,87.89,82.51,83.30,83.85,65.90,86.92
QUER-716,2022-10-06 08:56:11,base,all_paragraphs_combined_then_summarized_short,testing_query_rewriting,57.82,84.28,,,,,,,,,,,58.46,57.43,61.47,62.65,56.75,60.17,51.75,41.72,66.58,86.38,84.18,86.92,84.40,83.58,85.89,82.43,77.15,87.57
QUER-715,2022-10-06 08:49:31,base,all_paragraphs_combined_then_summarized_short,testing_everything,57.00,83.87,0.2774477562732873,0.3999820207827572,0.38634665927481976,0.26218563551773244,0.1906888330033811,0.30111119171496775,0.2805285408221674,0.13889755623396416,0.19125024085618056,0.19452589684091123,50.92,58.43,63.82,64.36,55.75,65.74,44.37,41.60,66.51,84.03,84.61,85.59,84.94,83.55,88.55,78.49,77.91,87.12
QUER-714,2022-10-06 06:47:02,personal,all_paragraphs_combined_then_summarized_short,testing_query_rewriting,60.16,82.82,,,,,,,,,,,54.95,60.99,63.20,65.34,60.60,65.46,53.43,50.48,66.58,79.23,85.97,85.99,86.80,84.06,85.29,80.90,71.84,85.30
QUER-713,2022-10-06 06:40:25,personal,all_paragraphs_combined_then_summarized_short,testing_everything,59.91,82.11,0.22028975682651503,0.21792381916222936,0.2988922449683706,0.22303792968151057,0.13245914200129705,0.17612846746100375,0.2908574882735665,0.18069526310020903,0.0796136193132166,0.1970204901150733,51.92,64.45,58.53,67.16,62.67,63.10,59.51,39.41,65.40,76.09,87.83,84.72,86.40,86.91,83.71,84.08,62.73,86.52
QUER-712,2022-10-06 05:07:55,base,all_paragraphs_summarized_mid_then_combined,testing_query_rewriting,54.74,83.05,,,,,,,,,,,57.59,49.35,53.64,65.54,53.81,60.84,46.50,43.22,56.57,85.43,80.56,84.26,85.07,81.86,88.41,80.37,80.97,80.49
QUER-711,2022-10-06 04:59:41,base,all_paragraphs_summarized_mid_then_combined,testing_everything,54.76,83.55,0.25676928110201414,0.34654178781472467,0.34570327999614814,0.25031285132541986,0.1967019340106514,0.20574983495020263,0.2429227741871146,0.20481574023189675,0.08962615168942616,0.3611925635075779,53.73,56.16,56.64,59.70,52.72,62.84,45.78,35.86,70.82,82.80,85.00,85.13,83.19,81.88,87.76,79.14,76.88,90.16
QUER-710,2022-10-06 03:28:11,personal,all_paragraphs_summarized_mid_then_combined,testing_query_rewriting,56.93,82.11,,,,,,,,,,,48.47,58.63,61.35,71.59,55.25,59.29,50.00,42.40,55.31,75.63,85.68,87.90,87.73,81.31,84.73,80.25,72.99,82.75
QUER-709,2022-10-06 03:19:51,personal,all_paragraphs_summarized_mid_then_combined,testing_everything,54.33,79.92,0.20764120753882442,0.19490006643892982,0.2850191973691253,0.2530071679280555,0.1528691813841039,0.18053978913357024,0.18690045966501068,0.1565051791805806,0.058523860769236616,0.206789906390317,45.93,58.14,56.23,60.80,57.12,56.21,48.87,39.19,65.16,74.70,83.70,85.62,84.87,82.13,81.23,73.29,66.32,87.39
QUER-708,2022-10-06 01:45:44,base,all_paragraphs_summarized_short_then_combined,testing_query_rewriting,57.24,84.36,,,,,,,,,,,57.42,55.73,56.84,63.00,56.04,71.15,49.06,37.94,58.90,86.34,84.98,86.39,83.74,83.42,89.90,83.57,76.93,83.99
QUER-707,2022-10-06 01:40:32,base,all_paragraphs_summarized_short_then_combined,testing_everything,56.66,82.98,0.25352353943303746,0.37580285439094996,0.401461793743316,0.2480431731011154,0.14710713053279698,0.23915750013158843,0.272137189879933,0.10465852004724502,0.0722590877011938,0.2463315987996705,53.53,59.81,58.62,64.39,56.43,65.00,46.58,34.48,65.64,82.51,85.91,85.61,84.65,81.94,88.48,79.47,73.79,84.47
QUER-706,2022-10-06 00:12:19,personal,all_paragraphs_summarized_short_then_combined,testing_query_rewriting,59.17,84.75,,,,,,,,,,,54.71,59.46,61.25,69.51,58.44,60.76,55.42,40.29,70.64,79.49,86.00,85.94,88.02,86.12,85.13,82.60,78.98,90.51
QUER-705,2022-10-06 00:07:11,personal,all_paragraphs_summarized_short_then_combined,testing_everything,56.99,83.64,0.21397068727750207,0.22183809422915451,0.3009941621929702,0.21924697472848892,0.12748006738670833,0.20565589282454108,0.2239351681091271,0.18364420312285057,0.1054582854424539,0.07177942634556549,49.56,59.18,60.65,71.32,59.81,58.72,49.22,37.57,48.58,78.09,86.95,88.10,87.57,86.40,81.62,78.62,79.30,86.10
QUER-704,2022-10-05 22:40:15,base,one_mid_summarized_paragraph,testing_query_rewriting,56.47,83.33,,,,,,,,,,,57.59,54.97,60.72,65.08,53.61,63.69,45.11,37.70,66.79,85.43,84.66,85.90,84.48,81.65,86.80,79.10,73.89,88.07
QUER-703,2022-10-05 22:31:28,base,one_mid_summarized_paragraph,testing_everything,55.75,82.49,0.27246482407707096,0.34654178781472467,0.4077040391024313,0.2557259627012974,0.2010165786202343,0.2937173025192568,0.23160804584101488,0.18890194761239715,0.08318034501523304,0.3412188391207717,53.73,61.14,58.04,60.62,58.05,53.74,49.64,34.62,66.04,82.80,86.75,85.43,82.54,82.52,83.43,82.88,71.60,84.46
QUER-702,2022-10-05 20:51:43,personal,one_mid_summarized_paragraph,testing_query_rewriting,60.75,85.17,,,,,,,,,,,48.47,63.78,59.86,72.38,63.11,63.05,61.26,42.83,70.54,75.63,89.44,84.29,89.38,85.02,85.18,86.46,80.52,90.63
QUER-701,2022-10-05 20:42:55,personal,one_mid_summarized_paragraph,testing_everything,56.26,81.01,0.21544927231065095,0.19490006643892982,0.3113983941575609,0.23478586109370034,0.14866764865414997,0.1625649125107911,0.22405460953801384,0.20198302351999625,0.05400942912224869,0.23844609301223216,45.93,60.48,61.00,58.29,59.24,64.01,51.87,40.54,54.32,74.70,85.54,88.88,84.90,86.35,84.72,81.27,62.71,80.03
QUER-700,2022-10-05 18:37:03,base,one_short_summarized_paragraph,testing_query_rewriting,55.96,82.99,,,,,,,,,,,57.42,55.59,60.64,62.88,55.10,60.07,44.26,40.16,63.24,86.34,84.15,85.71,84.13,83.37,84.29,78.26,77.65,82.98
