Id,Creation Time,T5_query_rewriter,data_usage_type,ndcg3_sum,bleu_sum,rouge_sum,run_type,bleu_1,bleu_2,bleu_3,bleu_4,bleu_5,bleu_6,bleu_7,bleu_8,bleu_9,bleu_10,bleu_11,bleu_12,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_11,ndcg_12,rouge_1,rouge_2,rouge_3,rouge_4,rouge_5,rouge_6,rouge_7,rouge_8,rouge_9,rouge_10,rouge_11,rouge_12
QUER1-151,2022-12-22 07:06:21,base,all_rewritten_queries_all_cosine_similar_sentences,0.24217630846008376,50.90,77.40,automatic,89.59,46.76,42.11,45.50,46.28,50.51,47.37,44.57,35.38,47.59,35.17,66.90,0.3747944436331389,0.2603784214469419,0.3394485206479895,0.21137888719528639,0.17261032858187114,0.18703059243543727,0.24595138501065916,0.21251996554028676,0.105934854686818,0.2830164027529715,0.16666666666666674,0.0,97.99,78.42,74.50,76.11,75.29,74.96,75.46,73.54,62.13,80.27,67.40,95.10
QUER1-147,2022-12-22 00:46:23,base,all_rewritten_queries_one_cosine_sentence,0.2683382489936322,51.17,78.40,automatic,89.59,46.76,40.43,45.81,46.73,53.54,47.05,45.49,35.55,41.19,35.59,66.90,0.3747944436331389,0.2603784214469419,0.36084316062055805,0.1854744588268299,0.24187586146583784,0.30362159634341646,0.25219600970548,0.23517670214969427,0.18389787167543314,0.2867988045378944,0.0,0.0,97.99,78.42,74.17,78.38,76.25,77.85,74.23,74.34,65.19,80.14,69.16,95.10
QUER1-143,2022-12-21 18:28:36,base,all_rewritten_queries_all_similar_sentences,0.25653459271153606,52.05,78.63,automatic,89.59,49.74,42.95,45.05,48.79,53.43,45.00,47.76,44.36,42.30,30.21,66.90,0.3747944436331389,0.28232528594174305,0.3033204855387262,0.18141904673921605,0.24383104824526305,0.2250564059083682,0.26040043114688055,0.15048990795845535,0.2850408244680574,0.28866792637311245,0.5,0.0,97.99,80.14,74.27,75.73,77.63,77.16,73.69,77.42,69.13,76.18,71.52,95.10
QUER1-139,2022-12-21 12:10:52,base,all_rewritten_queries_one_similar_sentence,0.25070223237568207,51.67,78.77,automatic,89.59,49.74,41.57,44.94,48.14,54.34,45.52,46.81,42.21,41.19,30.26,66.90,0.3747944436331389,0.28232528594174305,0.31598463815700084,0.16214384205635787,0.18270990771136028,0.27458518414121125,0.24507979708798833,0.18157640816918014,0.2740710715065985,0.2867988045378944,0.0,0.0,97.99,80.14,75.05,77.75,77.58,77.48,73.51,75.70,68.09,80.14,62.36,95.10
QUER1-135,2022-12-21 06:21:14,base,all_rewritten_queries,0.2744032633897166,52.21,78.86,automatic,89.59,49.44,46.72,45.50,47.15,52.52,46.79,46.61,38.87,40.96,26.84,66.90,0.3747944436331389,0.2508958094179347,0.3750696840060133,0.18636857357017866,0.18748652384309622,0.2777879277218943,0.28361890941665524,0.23720603801839346,0.32244173044520485,0.28520447841932417,0.5,0.0,97.99,79.44,75.68,77.52,76.80,76.82,74.67,76.56,66.30,79.74,69.83,95.10
QUER1-131,2022-12-21 00:52:03,base,all_raw_queries_all_cosine_similar_sentences,0.2639315329899783,51.86,78.64,automatic,89.59,46.76,41.26,47.06,46.17,51.48,48.97,52.42,36.56,39.46,26.84,66.90,0.3747944436331389,0.2603784214469419,0.3306062384740347,0.22126825380456436,0.2481043775170781,0.2245832509869421,0.24675871189239618,0.24906303924446568,0.21361326898352004,0.22452968117756633,0.31546487678572865,0.0,97.99,78.42,74.65,79.09,75.94,76.97,75.92,79.40,63.33,74.34,69.83,95.10
QUER1-127,2022-12-20 19:23:43,base,all_raw_queries_one_cosine_sentence,0.27553464959798074,52.46,79.37,automatic,89.59,46.76,41.00,48.79,47.53,57.15,46.88,50.69,39.53,41.20,32.14,66.90,0.3747944436331389,0.2603784214469419,0.32173635067267997,0.2306795155091595,0.27296828546950636,0.29043598237805374,0.24140382377835187,0.248316012436871,0.16887530929425149,0.29921036636545617,0.5,0.0,97.99,78.42,74.45,79.74,76.08,79.00,74.93,78.37,65.87,80.88,84.56,95.10
QUER1-123,2022-12-20 11:21:24,base,all_raw_queries_all_similar_sentences,0.26540058913094683,52.41,79.02,automatic,89.59,49.74,41.33,48.16,47.42,49.46,47.12,48.91,38.12,40.41,32.32,66.90,0.3747944436331389,0.28232528594174305,0.3183034382098575,0.21143180921341465,0.2222313009375165,0.26004037097340077,0.24456279843813555,0.23453170821689548,0.3233975660913251,0.22253010422625566,0.0,0.0,97.99,80.14,74.53,79.73,77.85,75.48,75.33,77.59,65.33,80.15,64.23,95.10
QUER1-119,2022-12-20 05:52:21,base,all_raw_queries_one_similar_sentence,0.2741947550420051,52.62,79.63,automatic,89.59,49.74,41.38,48.08,47.79,56.32,46.94,49.54,38.91,41.30,32.14,66.90,0.3747944436331389,0.28232528594174305,0.3183034382098575,0.2116293196835371,0.23214632101177926,0.26797172991225976,0.24390083363544215,0.23864573727535446,0.3018652850849991,0.32072075851780096,0.5,0.0,97.99,80.14,74.23,80.81,76.84,78.83,75.10,77.57,65.33,80.31,84.56,95.10
QUER1-115,2022-12-20 00:24:51,base,all_raw_queries,0.27330735627177954,52.67,79.90,automatic,89.59,49.44,43.46,48.10,48.41,55.19,49.01,48.63,38.46,42.41,28.45,66.90,0.3747944436331389,0.2508958094179347,0.31512877852882276,0.23143258238478218,0.27214632101177927,0.2699811475545773,0.2395536176922899,0.22873980525171672,0.2735002544505424,0.27639113446172425,0.5,0.0,97.99,79.44,75.84,79.80,77.25,78.80,77.32,76.75,65.58,83.82,78.12,95.10
