Id,Creation Time,T5_query_rewriter,data_usage_type,ndcg3_sum,bleu_sum,rouge_sum,run_type,bleu_1,bleu_2,bleu_3,bleu_4,bleu_5,bleu_6,bleu_7,bleu_8,bleu_9,bleu_10,bleu_11,bleu_12,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_11,ndcg_12,rouge_1,rouge_2,rouge_3,rouge_4,rouge_5,rouge_6,rouge_7,rouge_8,rouge_9,rouge_10,rouge_11,rouge_12
QUER1-188,2022-12-25 12:38:50,base,all_paragraphs_combined_then_summarized_scaling_by_3_to_10_rewriting,0.25445326342627,51.47,77.65,canonical,89.59,49.51,42.58,45.82,45.54,50.27,45.21,48.96,35.09,46.77,34.33,43.67,0.3747944436331389,0.28509023929468547,0.3792289814769908,0.20765383478002278,0.189207830639417,0.26535426272484486,0.19892038714869864,0.20210444248693585,0.16748293889317784,0.20908428758042477,0.13947147282556482,0.0,97.99,78.55,72.60,78.68,75.91,76.60,72.85,76.36,62.53,76.14,69.47,83.09
QUER1-187,2022-12-25 10:23:07,base,all_paragraphs_combined_then_summarized_scaling_by_3_to_10_rewriting,0.23779786234836245,50.05,77.27,automatic,89.59,45.75,38.99,44.02,47.14,51.44,43.71,49.23,33.06,40.35,30.26,66.90,0.3747944436331389,0.2829591624172834,0.322544651106924,0.16271943096998284,0.20933541542091938,0.2289674352008378,0.2072335703686492,0.16057818722658893,0.18266007096537962,0.24973304683880215,0.0,0.0,97.99,78.53,71.92,74.61,76.12,76.28,71.17,77.88,63.99,79.30,67.45,95.10
QUER1-186,2022-12-25 08:03:42,personal,all_paragraphs_combined_then_summarized_scaling_by_3_to_10_rewriting,0.2200277149960653,48.64,75.64,canonical,89.59,45.09,40.39,39.96,50.69,45.77,40.54,45.10,40.20,46.77,37.80,66.90,0.3747944436331389,0.2606632889136955,0.28833129841025884,0.12631159335336373,0.18663723356357445,0.18255056645685486,0.21352835344024035,0.19913804403481972,0.1398780850058924,0.18987958824786708,0.0,0.0,97.99,79.55,72.87,72.04,74.56,71.66,71.53,68.31,65.50,74.99,81.86,95.10
QUER1-185,2022-12-25 05:49:18,personal,all_paragraphs_combined_then_summarized_scaling_by_3_to_10_rewriting,0.2417352394463323,48.34,75.85,automatic,89.59,42.40,42.06,37.00,49.20,48.15,43.44,45.39,35.11,38.49,37.80,66.90,0.3747944436331389,0.2385181142438036,0.33436964366067395,0.1546996467678186,0.26083368963900355,0.2338837584339332,0.23195216711936043,0.1645204660887201,0.18390233648437385,0.2103339468813772,0.0,0.0,97.99,77.07,74.22,72.57,75.97,70.41,74.05,69.33,62.32,75.80,81.86,95.10
QUER1-184,2022-12-25 03:33:26,base,all_paragraphs_combined_then_summarized_scaling_by_2_to_5_rewriting,0.25445326342627,51.47,77.65,canonical,89.59,49.51,42.58,45.82,45.54,50.27,45.21,48.96,35.09,46.77,34.33,43.67,0.3747944436331389,0.28509023929468547,0.3792289814769908,0.20765383478002278,0.189207830639417,0.26535426272484486,0.19892038714869864,0.20210444248693585,0.16748293889317784,0.20908428758042477,0.13947147282556482,0.0,97.99,78.55,72.60,78.68,75.91,76.60,72.85,76.36,62.53,76.14,69.47,83.09
QUER1-183,2022-12-25 01:18:08,base,all_paragraphs_combined_then_summarized_scaling_by_2_to_5_rewriting,0.23779786234836245,50.05,77.27,automatic,89.59,45.75,38.99,44.02,47.14,51.44,43.71,49.23,33.06,40.35,30.26,66.90,0.3747944436331389,0.2829591624172834,0.322544651106924,0.16271943096998284,0.20933541542091938,0.2289674352008378,0.2072335703686492,0.16057818722658893,0.18266007096537962,0.24973304683880215,0.0,0.0,97.99,78.53,71.92,74.61,76.12,76.28,71.17,77.88,63.99,79.30,67.45,95.10
QUER1-182,2022-12-24 22:58:08,personal,all_paragraphs_combined_then_summarized_scaling_by_2_to_5_rewriting,0.2200277149960653,48.64,75.64,canonical,89.59,45.09,40.39,39.96,50.69,45.77,40.54,45.10,40.20,46.77,37.80,66.90,0.3747944436331389,0.2606632889136955,0.28833129841025884,0.12631159335336373,0.18663723356357445,0.18255056645685486,0.21352835344024035,0.19913804403481972,0.1398780850058924,0.18987958824786708,0.0,0.0,97.99,79.55,72.87,72.04,74.56,71.66,71.53,68.31,65.50,74.99,81.86,95.10
QUER1-181,2022-12-24 20:41:59,personal,all_paragraphs_combined_then_summarized_scaling_by_2_to_5_rewriting,0.2417352394463323,48.34,75.85,automatic,89.59,42.40,42.06,37.00,49.20,48.15,43.44,45.39,35.11,38.49,37.80,66.90,0.3747944436331389,0.2385181142438036,0.33436964366067395,0.1546996467678186,0.26083368963900355,0.2338837584339332,0.23195216711936043,0.1645204660887201,0.18390233648437385,0.2103339468813772,0.0,0.0,97.99,77.07,74.22,72.57,75.97,70.41,74.05,69.33,62.32,75.80,81.86,95.10
QUER1-180,2022-12-24 18:23:29,base,all_paragraphs_combined_then_summarized_long,0.25445326342627,51.47,77.65,canonical,89.59,49.51,42.58,45.82,45.54,50.27,45.21,48.96,35.09,46.77,34.33,43.67,0.3747944436331389,0.28509023929468547,0.3792289814769908,0.20765383478002278,0.189207830639417,0.26535426272484486,0.19892038714869864,0.20210444248693585,0.16748293889317784,0.20908428758042477,0.13947147282556482,0.0,97.99,78.55,72.60,78.68,75.91,76.60,72.85,76.36,62.53,76.14,69.47,83.09
QUER1-179,2022-12-24 16:08:13,base,all_paragraphs_combined_then_summarized_long,0.23779786234836245,50.05,77.27,automatic,89.59,45.75,38.99,44.02,47.14,51.44,43.71,49.23,33.06,40.35,30.26,66.90,0.3747944436331389,0.2829591624172834,0.322544651106924,0.16271943096998284,0.20933541542091938,0.2289674352008378,0.2072335703686492,0.16057818722658893,0.18266007096537962,0.24973304683880215,0.0,0.0,97.99,78.53,71.92,74.61,76.12,76.28,71.17,77.88,63.99,79.30,67.45,95.10
QUER1-178,2022-12-24 13:51:23,personal,all_paragraphs_combined_then_summarized_long,0.2200277149960653,48.64,75.64,canonical,89.59,45.09,40.39,39.96,50.69,45.77,40.54,45.10,40.20,46.77,37.80,66.90,0.3747944436331389,0.2606632889136955,0.28833129841025884,0.12631159335336373,0.18663723356357445,0.18255056645685486,0.21352835344024035,0.19913804403481972,0.1398780850058924,0.18987958824786708,0.0,0.0,97.99,79.55,72.87,72.04,74.56,71.66,71.53,68.31,65.50,74.99,81.86,95.10
QUER1-177,2022-12-24 11:39:26,personal,all_paragraphs_combined_then_summarized_long,0.2417352394463323,48.34,75.85,automatic,89.59,42.40,42.06,37.00,49.20,48.15,43.44,45.39,35.11,38.49,37.80,66.90,0.3747944436331389,0.2385181142438036,0.33436964366067395,0.1546996467678186,0.26083368963900355,0.2338837584339332,0.23195216711936043,0.1645204660887201,0.18390233648437385,0.2103339468813772,0.0,0.0,97.99,77.07,74.22,72.57,75.97,70.41,74.05,69.33,62.32,75.80,81.86,95.10
QUER1-176,2022-12-24 09:26:00,base,all_paragraphs_combined_then_summarized_mid,0.2595795016965629,50.43,77.82,canonical,89.59,48.91,42.56,42.50,45.37,49.97,45.91,47.93,32.62,38.93,34.33,43.67,0.3747944436331389,0.30116657339138597,0.3676291216734461,0.1881719060740545,0.19570197501718947,0.23884726657299674,0.24515913816227586,0.23681055041121254,0.17887480836982356,0.20834129218527409,0.13947147282556482,0.0,97.99,79.61,75.40,76.38,76.11,75.42,74.21,77.03,59.98,74.19,69.47,83.09
QUER1-175,2022-12-24 07:31:32,base,all_paragraphs_combined_then_summarized_mid,0.2419170118141382,50.73,77.97,automatic,89.59,45.66,42.30,45.27,46.76,50.12,43.98,50.40,36.69,38.83,34.33,66.90,0.3747944436331389,0.2587480373794417,0.3086798651721116,0.18996108416139748,0.2153528650559841,0.2359390526635484,0.2138102661078587,0.19165111284017297,0.17956517824839238,0.2539613664428222,0.0,0.0,97.99,77.75,74.33,77.41,76.33,75.94,72.78,78.32,64.69,73.95,69.47,95.10
QUER1-174,2022-12-24 05:33:48,personal,all_paragraphs_combined_then_summarized_mid,0.24286016717650702,49.70,75.98,canonical,89.59,44.27,42.81,40.42,50.34,47.03,45.22,46.59,30.00,47.03,37.35,66.90,0.3747944436331389,0.27209395118821167,0.33334489480879326,0.10794125219889285,0.2413464897811314,0.22551678089271016,0.24483438934443766,0.2240285418973886,0.16434313921771498,0.18896102322789568,0.0,0.0,97.99,79.12,75.69,71.53,73.68,70.92,74.67,71.20,58.96,76.46,74.16,95.10
QUER1-173,2022-12-24 03:38:59,personal,all_paragraphs_combined_then_summarized_mid,0.22372883686384495,47.80,75.08,automatic,89.59,43.23,39.13,38.65,48.78,49.16,41.74,40.94,27.69,39.39,38.42,66.90,0.3747944436331389,0.23698917398860836,0.25879002315634303,0.1341361625032877,0.22084057698952064,0.2683018773986971,0.20820466419585948,0.17649032599226275,0.09625078168978311,0.18948589857039858,0.0,0.0,97.99,77.26,72.00,72.61,76.33,72.14,71.42,66.49,58.63,75.37,80.53,95.10
QUER1-172,2022-12-24 01:39:37,base,all_paragraphs_combined_then_summarized_short,0.2596147940437193,50.62,77.69,canonical,89.59,46.74,41.95,41.45,47.65,49.89,45.56,47.86,36.69,39.74,34.33,43.67,0.3747944436331389,0.30810867278403614,0.3527001542041316,0.1967393807021402,0.2265684276661215,0.23645366257085076,0.2175229719649093,0.20708341460578766,0.19261207097806574,0.28520447841932417,0.13947147282556482,0.0,97.99,77.94,74.17,76.64,75.66,75.39,74.21,75.22,65.63,76.50,69.47,83.09
QUER1-171,2022-12-23 23:47:46,base,all_paragraphs_combined_then_summarized_short,0.2567137565195905,50.56,77.43,automatic,89.59,45.51,41.11,45.67,43.92,52.46,46.37,43.98,40.88,40.39,30.21,66.90,0.3747944436331389,0.28920444541164125,0.3365918473121987,0.2091356527412453,0.19193991020146228,0.26886935210836244,0.27832026719141706,0.15170333709356273,0.20566553695267017,0.2688274874752085,0.0,0.0,97.99,76.93,72.03,78.60,73.52,75.89,74.59,74.36,67.90,80.14,71.52,95.10
QUER1-170,2022-12-23 21:52:03,personal,all_paragraphs_combined_then_summarized_short,0.2419627589131301,48.63,75.81,canonical,89.59,40.16,41.91,38.94,50.86,46.68,44.13,43.19,30.92,47.23,38.42,66.90,0.3747944436331389,0.28281197903533106,0.3396467134540668,0.15762876877171364,0.23160383050710628,0.2335676024013112,0.20553824836592813,0.20557788737566207,0.11700756057001804,0.18948589857039858,0.0,0.0,97.99,77.35,74.87,74.86,75.56,70.16,73.34,67.73,59.73,77.39,80.53,95.10
